"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<a href=\"/\">Home</a>","html > body > div:nth-child(2) > div > nav > ul > li:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<a href=\"/works/\">Works</a>","html > body > div:nth-child(2) > div > nav > ul > li:nth-child(2) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<a href=\"/blood/\">Blood</a>","html > body > div:nth-child(2) > div > nav > ul > li:nth-child(3) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<small id=\"job-title\">Graduate Research Assistant</small>","#job-title"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span class=\"sidebar-label\">[mail]</span>","html > body > div:nth-child(3) > aside:nth-child(1) > div:nth-child(2) > ul > li:nth-child(1) > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span class=\"sidebar-label\">[tel]</span>","html > body > div:nth-child(3) > aside:nth-child(1) > div:nth-child(2) > ul > li:nth-child(2) > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span class=\"sidebar-label\">[time]</span>","html > body > div:nth-child(3) > aside:nth-child(1) > div:nth-child(2) > ul > li:nth-child(3) > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span class=\"sidebar-label\">[web]</span>","html > body > div:nth-child(3) > aside:nth-child(1) > div:nth-child(2) > ul > li:nth-child(4) > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span class=\"sidebar-label\">[author]</span>","html > body > div:nth-child(3) > aside:nth-child(1) > div:nth-child(2) > ul > li:nth-child(5) > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span class=\"sidebar-label\">[cv]</span>","html > body > div:nth-child(3) > aside:nth-child(1) > div:nth-child(2) > ul > li:nth-child(6) > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span class=\"sidebar-label\">[vcard]</span>","html > body > div:nth-child(3) > aside:nth-child(1) > div:nth-child(2) > ul > li:nth-child(7) > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span class=\"uni-name\">Mahidol University</span>","html > body > div:nth-child(3) > aside:nth-child(1) > div:nth-child(2) > div:nth-child(6) > a > span:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span class=\"education-time\">2019 - 2021</span>","html > body > div:nth-child(3) > aside:nth-child(1) > div:nth-child(2) > span:nth-child(7)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span class=\"uni-name\">University of Dental Medicine Y...</span>","html > body > div:nth-child(3) > aside:nth-child(1) > div:nth-child(2) > div:nth-child(10) > a > span:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span class=\"education-time\">2012 - 2019</span>","html > body > div:nth-child(3) > aside:nth-child(1) > div:nth-child(2) > span:nth-child(11)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.45:1. Recommendation:  change text colour to #fff.","<span>[<a href=\"https://gohugo.io/\">H...</span>","#main-content > div:nth-child(16) > span:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.45:1. Recommendation:  change text colour to #fff.","<span>[<a href=\"https://github.com/mr...</span>","#main-content > div:nth-child(16) > span:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.45:1. Recommendation:  change text colour to #fff.","<span>[<a href=\"/about/\" class=\"autho...</span>","#main-content > div:nth-child(16) > span:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.45:1. Recommendation:  change text colour to #fff.","<span>\n    [<span class=\"footer-lang-...</span>","#main-content > div:nth-child(16) > span:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.45:1. Recommendation:  change text colour to #fff.","<span>[<a rel=\"license\" href=\"https:/...</span>","#main-content > div:nth-child(16) > span:nth-child(5)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td>Works</td>","#openalex-metrics > table > tbody > tr:nth-child(1) > td:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td>Citations</td>","#openalex-metrics > table > tbody > tr:nth-child(2) > td:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td>h-index</td>","#openalex-metrics > table > tbody > tr:nth-child(3) > td:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td>i10-index</td>","#openalex-metrics > table > tbody > tr:nth-child(4) > td:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span>Source: OpenAlex API</span>","#openalex-metrics > div > div:nth-child(2) > span:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span>Updated: 2026-05-06</span>","#openalex-metrics > div > div:nth-child(2) > span:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<a href=\"/works/?search=Thailand\" title=\"Thailand: 14 of 16 works\" style=\"color: var(--secondary-color); text-decoration: none; white-space: nowrap;\">Thailand</a>","#research-cloud > table > tbody > tr:nth-child(1) > td:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td style=\"text-align: right; color: var(--secondary-color); white-space: pre;\">  14 works</td>","#research-cloud > table > tbody > tr:nth-child(1) > td:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<a href=\"/works/?search=Statistics\" title=\"Statistics: 12 of 16 works\" style=\"color: var(--secondary-color); text-decoration: none; white-space: nowrap;\">Statistics</a>","#research-cloud > table > tbody > tr:nth-child(2) > td:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td style=\"text-align: right; color: var(--secondary-color); white-space: pre;\">  12 works</td>","#research-cloud > table > tbody > tr:nth-child(2) > td:nth-child(3)"
